"skill1","skill2","name1","name2","weight","count","occupation_count"
"1.A.1.a.2","1.A.2.b.4","Written Comprehension","Rate Control",21.5437110204007,19,19
"1.A.1.a.2","1.A.2.c.1","Written Comprehension","Reaction Time",19.0957086230179,17,17
"1.A.1.a.2","1.A.2.c.2","Written Comprehension","Wrist-Finger Speed",40.6361389382917,36,36
"1.A.1.a.2","1.A.2.c.3","Written Comprehension","Speed of Limb Movement",19.1797699985197,17,17
"1.A.1.a.2","1.A.3.a.1","Written Comprehension","Static Strength",24.8869652576121,22,22
"1.A.1.a.2","1.A.3.a.2","Written Comprehension","Explosive Strength",23.801376745111,21,21
"1.A.1.a.2","1.A.3.a.3","Written Comprehension","Dynamic Strength",24.3668160758932,22,22
"1.A.1.a.2","1.A.3.a.4","Written Comprehension","Trunk Strength",15.9841423862618,14,14
"1.A.1.a.2","1.A.3.b.1","Written Comprehension","Stamina",22.8188548631928,20,20
"1.A.1.a.2","1.A.3.c.1","Written Comprehension","Extent Flexibility",22.9258649253812,20,20
"1.A.1.a.2","1.A.3.c.2","Written Comprehension","Dynamic Flexibility",13.0811600802616,11,11
"1.A.1.a.2","1.A.3.c.3","Written Comprehension","Gross Body Coordination",27.9544073875766,25,25
"1.A.1.a.2","1.A.3.c.4","Written Comprehension","Gross Body Equilibrium",26.88169559733,24,24
"1.A.1.a.2","1.A.4.a.1","Written Comprehension","Near Vision",92.5562435809815,82,82
"1.A.1.a.2","1.A.4.a.2","Written Comprehension","Far Vision",45.8950456725582,42,42
"1.A.1.a.2","1.A.4.a.3","Written Comprehension","Visual Color Discrimination",47.8972517652575,43,43
"1.A.1.a.2","1.A.4.a.4","Written Comprehension","Night Vision",22.8719644964457,20,20
"1.A.1.a.2","1.A.4.a.5","Written Comprehension","Peripheral Vision",19.5997627229853,17,17
"1.A.1.a.2","1.A.4.a.6","Written Comprehension","Depth Perception",20.8282711529342,19,19
"1.A.1.a.2","1.A.4.a.7","Written Comprehension","Glare Sensitivity",22.2939137263344,19,19
"1.A.1.a.2","1.A.4.b.1","Written Comprehension","Hearing Sensitivity",25.7915602042735,24,24
"1.A.1.a.2","1.A.4.b.2","Written Comprehension","Auditory Attention",35.975714024121,33,33
"1.A.1.a.2","1.A.4.b.3","Written Comprehension","Sound Localization",20.6453651506243,18,18
"1.A.1.a.2","1.A.4.b.4","Written Comprehension","Speech Recognition",136.731804140758,121,121
"1.A.1.a.2","1.A.4.b.5","Written Comprehension","Speech Clarity",150.469764191823,132,132
"1.A.1.a.2","1.C.1.a","Written Comprehension","Achievement/Effort",120.53868155485,106,106
"1.A.1.a.2","1.C.1.b","Written Comprehension","Persistence",130.036997159704,115,115
"1.A.1.a.2","1.C.1.c","Written Comprehension","Initiative",124.182341084241,110,110
"1.A.1.a.2","1.C.2.b","Written Comprehension","Leadership",111.331428933304,98,98
"1.A.1.a.2","1.C.3.a","Written Comprehension","Cooperation",104.539586914978,93,93
"1.A.1.a.2","1.C.3.b","Written Comprehension","Concern for Others",98.1594649996713,86,86
"1.A.1.a.2","1.C.3.c","Written Comprehension","Social Orientation",95.5804946917339,83,83
"1.A.1.a.2","1.C.4.a","Written Comprehension","Self-Control",100.32515938013,89,89
"1.A.1.a.2","1.C.4.b","Written Comprehension","Stress Tolerance",112.485731592372,100,100
"1.A.1.a.2","1.C.4.c","Written Comprehension","Adaptability/Flexibility",118.850948751823,106,106
"1.A.1.a.2","1.C.5.a","Written Comprehension","Dependability",96.5817636416181,86,86
"1.A.1.a.2","1.C.5.b","Written Comprehension","Attention to Detail",92.7908946142343,82,82
"1.A.1.a.2","1.C.5.c","Written Comprehension","Integrity",126.896929094846,112,112
"1.A.1.a.2","1.C.6","Written Comprehension","Independence",101.683387587961,89,89
"1.A.1.a.2","1.C.7.a","Written Comprehension","Innovation",113.465900519834,100,100
"1.A.1.a.2","1.C.7.b","Written Comprehension","Analytical Thinking",134.640735921967,118,118
"1.A.1.a.2","2.A.1.a","Written Comprehension","Reading Comprehension",163.458036205621,141,141
"1.A.1.a.2","2.A.1.b","Written Comprehension","Active Listening",157.761237527044,139,139
"1.A.1.a.2","2.A.1.c","Written Comprehension","Writing",162.15422288298,138,138
"1.A.1.a.2","2.A.1.d","Written Comprehension","Speaking",143.017011106226,124,124
"1.A.1.a.2","2.A.1.e","Written Comprehension","Mathematics",117.18696443756,100,100
"1.A.1.a.2","2.A.1.f","Written Comprehension","Science",108.928167879689,84,84
"1.A.1.a.2","2.A.2.a","Written Comprehension","Critical Thinking",145.009738248109,128,128
"1.A.1.a.2","2.A.2.b","Written Comprehension","Active Learning",145.627198370967,126,126
"1.A.1.a.2","2.A.2.c","Written Comprehension","Learning Strategies",135.505107807435,114,114
"1.A.1.a.2","2.A.2.d","Written Comprehension","Monitoring",112.462756291981,100,100
"1.A.1.a.2","2.B.1.a","Written Comprehension","Social Perceptiveness",121.192469818358,106,106
"1.A.1.a.2","2.B.1.b","Written Comprehension","Coordination",103.971312703112,92,92
"1.A.1.a.2","2.B.1.c","Written Comprehension","Persuasion",137.710317218315,120,120
"1.A.1.a.2","2.B.1.d","Written Comprehension","Negotiation",131.225477131508,113,113
"1.A.1.a.2","2.B.1.e","Written Comprehension","Instructing",132.901550418398,112,112
"1.A.1.a.2","2.B.1.f","Written Comprehension","Service Orientation",125.47754783992,110,110
"1.A.1.a.2","2.B.2.i","Written Comprehension","Complex Problem Solving",139.032401029238,122,122
"1.A.1.a.2","2.B.3.a","Written Comprehension","Operations Analysis",126.569815315408,105,105
"1.A.1.a.2","2.B.3.b","Written Comprehension","Technology Design",87.0692612888712,74,74
"1.A.1.a.2","2.B.3.c","Written Comprehension","Equipment Selection",37.7219729337443,32,32
"1.A.1.a.2","2.B.3.d","Written Comprehension","Installation",24.2191221458062,19,19
"1.A.1.a.2","2.B.3.e","Written Comprehension","Programming",127.94187648695,105,105
"1.A.1.a.2","2.B.3.g","Written Comprehension","Operations Monitoring",40.6175727424464,36,36
"1.A.1.a.2","2.B.3.h","Written Comprehension","Operation and Control",30.8202709421594,27,27
"1.A.1.a.2","2.B.3.j","Written Comprehension","Equipment Maintenance",30.2089279367037,25,25
"1.A.1.a.2","2.B.3.k","Written Comprehension","Troubleshooting",37.5314650693743,32,32
"1.A.1.a.2","2.B.3.l","Written Comprehension","Repairing",25.8209634567286,21,21
"1.A.1.a.2","2.B.3.m","Written Comprehension","Quality Control Analysis",52.060833525113,45,45
"1.A.1.a.2","2.B.4.e","Written Comprehension","Judgment and Decision Making",138.066337356566,122,122
"1.A.1.a.2","2.B.4.g","Written Comprehension","Systems Analysis",144.139460008537,124,124
"1.A.1.a.2","2.B.4.h","Written Comprehension","Systems Evaluation",140.960714259325,121,121
"1.A.1.a.2","2.B.5.a","Written Comprehension","Time Management",124.863514242732,111,111
"1.A.1.a.2","2.B.5.b","Written Comprehension","Management of Financial Resources",98.8622835295265,84,84
"1.A.1.a.2","2.B.5.c","Written Comprehension","Management of Material Resources",89.9094289576314,78,78
"1.A.1.a.2","2.B.5.d","Written Comprehension","Management of Personnel Resources",124.007399108337,108,108
"1.A.1.a.2","2.C.1.a","Written Comprehension","Administration and Management",104.509334523487,90,90
"1.A.1.a.2","2.C.1.b","Written Comprehension","Administrative",134.152109432531,113,113
"1.A.1.a.2","2.C.1.c","Written Comprehension","Economics and Accounting",102.193755012504,84,84
"1.A.1.a.2","2.C.1.d","Written Comprehension","Sales and Marketing",76.7465698946792,62,62
"1.A.1.a.2","2.C.1.e","Written Comprehension","Customer and Personal Service",105.735125385478,91,91
"1.A.1.a.2","2.C.1.f","Written Comprehension","Personnel and Human Resources",104.207098296545,88,88
"1.A.1.a.2","2.C.10","Written Comprehension","Transportation",52.9898086876405,45,45
"1.A.1.a.2","2.C.2.a","Written Comprehension","Production and Processing",48.6748499499054,42,42
